City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,isangel,-19.55,169.2667,69.91,94.0,94.0,20.0,VU,1718649843.0
276,ad dabbah,18.05,30.95,101.66,16.0,16.0,90.0,SD,1718649844.0
277,rokytne,51.2796,27.214,62.65,90.0,90.0,0.0,UA,1718649846.0
278,kralendijk,12.15,-68.2667,89.58,66.0,66.0,75.0,BQ,1718649549.0
279,kavaratti,10.5669,72.642,81.97,84.0,84.0,100.0,IN,1718649848.0
280,namibe,-15.1961,12.1522,64.08,86.0,86.0,0.0,AO,1718649849.0
281,sinabang,2.4803,96.3801,78.93,81.0,81.0,100.0,ID,1718649850.0
282,figueres,42.2664,2.9616,76.41,80.0,80.0,92.0,ES,1718649851.0
283,port lincoln,-34.7333,135.8667,54.32,83.0,83.0,100.0,AU,1718649852.0
284,selkirk,50.1436,-96.8845,66.27,48.0,48.0,19.0,CA,1718649853.0
285,rovnoye,50.7765,46.0509,72.72,75.0,75.0,2.0,RU,1718649855.0
286,muravlenko,63.7898,74.523,53.98,56.0,56.0,98.0,RU,1718649856.0
287,istgah-e rah ahan-e garmsar,35.2346,52.3094,88.21,26.0,26.0,65.0,IR,1718649857.0
288,chegdomyn,51.1167,133.0167,46.9,90.0,90.0,100.0,RU,1718649858.0
289,nova sintra,14.8667,-24.7167,74.53,80.0,80.0,63.0,CV,1718649859.0
290,khandyga,62.6667,135.6,55.47,64.0,64.0,100.0,RU,1718649860.0
291,santa cruz,-17.8,-63.1667,78.26,73.0,73.0,75.0,BO,1718649641.0
292,dakhla,23.6848,-15.958,69.82,78.0,78.0,1.0,EH,1718649862.0
293,hola,51.5377,23.1902,69.98,71.0,71.0,5.0,PL,1718649864.0
294,mahanje,-9.9333,35.3333,58.1,68.0,68.0,0.0,TZ,1718649865.0
295,sodra sandby,56.5667,16.6167,60.66,83.0,83.0,89.0,SE,1718649866.0
296,bodo,67.28,14.405,73.44,46.0,46.0,40.0,NO,1718649867.0
297,rundu,-17.9333,19.7667,58.87,36.0,36.0,0.0,NA,1718649868.0
298,kyabe,9.4515,18.9449,83.86,54.0,54.0,47.0,TD,1718649869.0
299,bhaisa,19.1,77.9667,82.96,72.0,72.0,100.0,IN,1718649870.0
300,tralee,52.2704,-9.7026,57.24,83.0,83.0,84.0,IE,1718649871.0
301,conde,-7.2597,-34.9075,81.86,65.0,65.0,40.0,BR,1718649651.0
302,brady,31.1352,-99.3351,90.36,45.0,45.0,40.0,US,1718649874.0
303,berbera,10.4396,45.0143,90.14,55.0,55.0,97.0,SO,1718649875.0
304,revelstoke,50.9832,-118.2023,57.22,62.0,62.0,100.0,CA,1718649876.0
305,ironwood,46.4547,-90.171,59.34,88.0,88.0,40.0,US,1718649877.0
306,manicore,-5.8092,-61.3003,89.26,49.0,49.0,79.0,BR,1718649878.0
307,kayangel,8.0823,134.7173,82.09,80.0,80.0,93.0,PW,1718649874.0
308,howrah,22.5892,88.3103,87.8,89.0,89.0,75.0,IN,1718649881.0
309,borzya,50.3833,116.5167,61.0,51.0,51.0,96.0,RU,1718649882.0
310,uturoa,-16.7333,-151.4333,78.94,77.0,77.0,20.0,PF,1718649883.0
311,san pedro pochutla,15.7333,-96.4667,91.11,67.0,67.0,100.0,MX,1718649884.0
312,tuy hoa,13.0833,109.3,80.69,73.0,73.0,100.0,VN,1718649885.0
313,porto novo,6.4965,2.6036,82.22,84.0,84.0,21.0,BJ,1718649886.0
314,rawson,-43.3002,-65.1023,57.96,45.0,45.0,100.0,AR,1718649679.0
